   CH4(S1) => CH3(S1) + H(S2)
Arrhenius parameters A, B, E:    3.711e+06    0.21  100.494
  T/K     k_calc(s-1)      k_fit(s-1)       f_unc       uncertainty(%)
 2010.0   4.62e+04         4.61e+04      3.1730e+00           217.3
 2020.0   4.76e+04         4.75e+04      3.1549e+00           215.5
 2030.0   4.91e+04         4.90e+04      3.1371e+00           213.7
 2040.0   5.06e+04         5.05e+04      3.1196e+00           212.0
 2050.0   5.22e+04         5.20e+04      3.1023e+00           210.2
 2060.0   5.37e+04         5.36e+04      3.0853e+00           208.5
 2070.0   5.53e+04         5.52e+04      3.0686e+00           206.9
 2080.0   5.70e+04         5.68e+04      3.0521e+00           205.2
 2090.0   5.86e+04         5.85e+04      3.0358e+00           203.6
 2100.0   6.04e+04         6.02e+04      3.0198e+00           202.0
 2110.0   6.21e+04         6.19e+04      3.0040e+00           200.4
 2120.0   6.39e+04         6.37e+04      2.9885e+00           198.8
 2130.0   6.57e+04         6.54e+04      2.9732e+00           197.3
 2140.0   6.75e+04         6.73e+04      2.9581e+00           195.8
 2150.0   6.94e+04         6.91e+04      2.9432e+00           194.3
 2160.0   7.13e+04         7.10e+04      2.9285e+00           192.9
 2170.0   7.32e+04         7.29e+04      2.9140e+00           191.4
 2180.0   7.52e+04         7.49e+04      2.8998e+00           190.0
 2190.0   7.72e+04         7.69e+04      2.8857e+00           188.6
 2200.0   7.93e+04         7.89e+04      2.8718e+00           187.2
 2210.0   8.13e+04         8.10e+04      2.8582e+00           185.8
 2220.0   8.35e+04         8.31e+04      2.8447e+00           184.5
 2230.0   8.56e+04         8.52e+04      2.8314e+00           183.1
 2240.0   8.78e+04         8.74e+04      2.8183e+00           181.8
 2250.0   9.00e+04         8.96e+04      2.8053e+00           180.5
 2260.0   9.23e+04         9.19e+04      2.7925e+00           179.3
 2270.0   9.46e+04         9.41e+04      2.7799e+00           178.0
 2280.0   9.69e+04         9.65e+04      2.7675e+00           176.7
 2290.0   9.93e+04         9.88e+04      2.7552e+00           175.5
 2300.0   1.02e+05         1.01e+05      2.7431e+00           174.3
 2310.0   1.04e+05         1.04e+05      2.7311e+00           173.1
 2320.0   1.07e+05         1.06e+05      2.7193e+00           171.9
 2330.0   1.09e+05         1.09e+05      2.7077e+00           170.8
 2340.0   1.12e+05         1.11e+05      2.6962e+00           169.6
 2350.0   1.14e+05         1.14e+05      2.6848e+00           168.5
 2360.0   1.17e+05         1.16e+05      2.6736e+00           167.4
 2370.0   1.20e+05         1.19e+05      2.6626e+00           166.3
 2380.0   1.22e+05         1.22e+05      2.6516e+00           165.2
 2390.0   1.25e+05         1.24e+05      2.6408e+00           164.1
 2400.0   1.28e+05         1.27e+05      2.6302e+00           163.0
 2410.0   1.31e+05         1.30e+05      2.6196e+00           162.0
 2420.0   1.34e+05         1.33e+05      2.6092e+00           160.9
 2430.0   1.36e+05         1.36e+05      2.5989e+00           159.9
 2440.0   1.39e+05         1.39e+05      2.5888e+00           158.9
 2450.0   1.42e+05         1.41e+05      2.5788e+00           157.9
 2460.0   1.45e+05         1.44e+05      2.5688e+00           156.9
 2470.0   1.48e+05         1.48e+05      2.5591e+00           155.9
 2480.0   1.52e+05         1.51e+05      2.5494e+00           154.9
 2490.0   1.55e+05         1.54e+05      2.5398e+00           154.0
 2500.0   1.58e+05         1.57e+05      2.5304e+00           153.0
 2510.0   1.61e+05         1.60e+05      2.5210e+00           152.1
 2520.0   1.64e+05         1.63e+05      2.5118e+00           151.2
 2530.0   1.68e+05         1.67e+05      2.5027e+00           150.3
 2540.0   1.71e+05         1.70e+05      2.4936e+00           149.4
 2550.0   1.74e+05         1.73e+05      2.4847e+00           148.5
 2560.0   1.78e+05         1.77e+05      2.4759e+00           147.6
 2570.0   1.81e+05         1.80e+05      2.4672e+00           146.7
 2580.0   1.85e+05         1.83e+05      2.4586e+00           145.9
 2590.0   1.88e+05         1.87e+05      2.4500e+00           145.0
 2600.0   1.92e+05         1.90e+05      2.4416e+00           144.2
 2610.0   1.95e+05         1.94e+05      2.4333e+00           143.3
 2620.0   1.99e+05         1.98e+05      2.4250e+00           142.5
 2630.0   2.03e+05         2.01e+05      2.4169e+00           141.7
 2640.0   2.06e+05         2.05e+05      2.4088e+00           140.9
 2650.0   2.10e+05         2.09e+05      2.4008e+00           140.1
 2660.0   2.14e+05         2.13e+05      2.3929e+00           139.3
 2670.0   2.18e+05         2.16e+05      2.3851e+00           138.5
 2680.0   2.22e+05         2.20e+05      2.3774e+00           137.7
 2690.0   2.26e+05         2.24e+05      2.3698e+00           137.0
 2700.0   2.30e+05         2.28e+05      2.3622e+00           136.2
 2710.0   2.34e+05         2.32e+05      2.3547e+00           135.5
 2720.0   2.38e+05         2.36e+05      2.3473e+00           134.7
 2730.0   2.42e+05         2.40e+05      2.3400e+00           134.0
 2740.0   2.46e+05         2.44e+05      2.3327e+00           133.3
 2750.0   2.50e+05         2.48e+05      2.3256e+00           132.6
 2760.0   2.54e+05         2.53e+05      2.3185e+00           131.8
 2770.0   2.59e+05         2.57e+05      2.3114e+00           131.1
 2780.0   2.63e+05         2.61e+05      2.3045e+00           130.4
 2790.0   2.67e+05         2.65e+05      2.2976e+00           129.8
 2800.0   2.72e+05         2.70e+05      2.2908e+00           129.1
 2810.0   2.76e+05         2.74e+05      2.2840e+00           128.4
 2820.0   2.80e+05         2.79e+05      2.2774e+00           127.7
 2830.0   2.85e+05         2.83e+05      2.2707e+00           127.1
 2840.0   2.89e+05         2.88e+05      2.2642e+00           126.4
 2850.0   2.94e+05         2.92e+05      2.2577e+00           125.8
 2860.0   2.99e+05         2.97e+05      2.2513e+00           125.1
 2870.0   3.03e+05         3.01e+05      2.2449e+00           124.5
 2880.0   3.08e+05         3.06e+05      2.2386e+00           123.9
 2890.0   3.13e+05         3.11e+05      2.2324e+00           123.2
 2900.0   3.18e+05         3.15e+05      2.2262e+00           122.6
 2910.0   3.22e+05         3.20e+05      2.2201e+00           122.0
 2920.0   3.27e+05         3.25e+05      2.2141e+00           121.4
 2930.0   3.32e+05         3.30e+05      2.2081e+00           120.8
 2940.0   3.37e+05         3.35e+05      2.2021e+00           120.2
 2950.0   3.42e+05         3.40e+05      2.1962e+00           119.6
 2960.0   3.47e+05         3.45e+05      2.1904e+00           119.0
 2970.0   3.52e+05         3.50e+05      2.1846e+00           118.5
 2980.0   3.57e+05         3.55e+05      2.1789e+00           117.9
 2990.0   3.62e+05         3.60e+05      2.1732e+00           117.3
 3000.0   3.67e+05         3.65e+05      2.1676e+00           116.8
 3010.0   3.73e+05         3.70e+05      2.1621e+00           116.2
 3020.0   3.78e+05         3.75e+05      2.1566e+00           115.7
 3030.0   3.83e+05         3.81e+05      2.1511e+00           115.1
 3040.0   3.89e+05         3.86e+05      2.1457e+00           114.6
 3050.0   3.94e+05         3.91e+05      2.1403e+00           114.0
 3060.0   3.99e+05         3.97e+05      2.1350e+00           113.5
 3070.0   4.05e+05         4.02e+05      2.1297e+00           113.0
 3080.0   4.10e+05         4.08e+05      2.1245e+00           112.5
 3090.0   4.16e+05         4.13e+05      2.1193e+00           111.9
 3100.0   4.21e+05         4.19e+05      2.1142e+00           111.4
 3110.0   4.27e+05         4.24e+05      2.1091e+00           110.9
